sample_id,variety,region,quality_score,quality_category,ripeness_index,ripeness_category,sugar_content_brix,firmness_kgf,length_cm,weight_g,harvest_date,tree_age_years,altitude_m,rainfall_mm,soil_nitrogen_ppm
68,Cavendish,Guatemala,1.98,Processing,1.66,Green,16.81,4.84,29.58,137.17,2023-10-09,8.0,746.3,1666.7,106.0
69,Plantain,Costa Rica,2.07,Processing,3.13,Turning,16.15,1.63,23.48,236.49,2023-10-06,3.9,232.3,1898.2,15.8
70,Blue Java,Costa Rica,2.3,Processing,2.72,Turning,17.31,3.54,26.94,82.04,2023-10-30,6.3,274.4,2141.3,35.0
71,Lady Finger,Costa Rica,2.38,Processing,2.78,Turning,20.3,3.68,16.49,173.98,2023-09-09,19.1,547.6,1871.2,178.5
72,Lady Finger,Philippines,2.35,Processing,2.4,Turning,18.64,3.25,23.53,205.91,2023-10-25,7.5,648.7,1829.7,152.8
73,Cavendish,Philippines,1.7,Processing,1.25,Green,16.43,1.91,21.88,162.45,2023-10-22,5.0,934.8,2465.4,90.3
74,Lady Finger,India,2.43,Processing,1.11,Green,21.14,1.72,22.06,94.52,2023-10-01,10.3,111.6,2371.8,108.3
75,Burro,Ecuador,3.66,Premium,6.93,Overripe,21.16,3.19,23.65,245.32,2023-09-18,7.5,755.5,2666.5,80.3
76,Lady Finger,Costa Rica,2.78,Good,3.57,Turning,21.09,4.4,21.51,168.06,2023-09-26,2.6,273.9,1499.9,150.7
77,Plantain,Colombia,1.86,Processing,3.31,Turning,16.67,4.76,18.58,184.41,2023-09-01,7.8,861.0,2219.1,159.0
78,Plantain,Ecuador,2.41,Processing,5.08,Ripe,18.16,0.98,15.52,120.22,2023-09-18,11.8,956.1,2170.4,155.0
79,Manzano,Colombia,2.75,Good,2.31,Turning,21.89,1.2,25.37,162.19,2023-10-13,11.9,835.1,1739.5,147.3
80,Plantain,Ecuador,3.0,Good,6.7,Overripe,20.4,4.75,14.53,152.96,2023-09-30,8.4,1107.4,1972.1,48.9
81,Manzano,India,2.4,Processing,5.72,Ripe,15.19,3.81,23.85,92.73,2023-09-27,10.1,503.4,1627.6,74.2
82,Plantain,Costa Rica,1.17,Unripe,1.54,Green,15.46,4.47,14.67,98.05,2023-09-09,19.4,1147.7,1283.7,99.3
83,Burro,Costa Rica,2.44,Processing,3.51,Turning,18.25,1.41,22.51,222.37,2023-09-22,8.8,649.2,1427.6,72.9
84,Fehi,Brazil,3.59,Premium,6.27,Overripe,21.36,3.14,24.94,120.77,2023-09-27,6.6,726.3,1211.0,153.4
85,Manzano,Colombia,2.82,Good,6.67,Overripe,18.77,3.66,14.37,113.14,2023-09-25,6.4,972.2,2366.1,72.6
86,Red Dacca,Ecuador,2.08,Processing,3.8,Turning,18.48,3.56,11.2,165.83,2023-10-24,10.2,27.5,2321.5,36.3
87,Blue Java,Ecuador,1.95,Processing,4.68,Ripe,15.74,2.34,12.62,210.69,2023-10-13,15.7,981.0,2901.2,85.8
88,Cavendish,Honduras,2.26,Processing,2.0,Green,19.6,0.57,22.12,90.53,2023-10-02,5.7,927.9,2459.4,196.2
89,Plantain,Honduras,3.77,Premium,6.95,Overripe,20.75,3.12,26.99,178.06,2023-10-28,14.8,464.8,1104.1,52.9
90,Lady Finger,Philippines,1.67,Processing,2.39,Turning,17.66,1.64,10.9,100.27,2023-10-30,2.4,128.7,2768.5,126.3
91,Fehi,Brazil,3.62,Premium,6.66,Overripe,20.43,2.53,24.68,86.2,2023-09-29,9.5,136.4,2725.4,92.3
92,Plantain,Guatemala,2.82,Good,4.9,Ripe,21.75,4.81,16.83,88.97,2023-09-26,16.0,1384.8,1886.6,23.5
93,Lady Finger,Honduras,2.33,Processing,4.65,Ripe,16.43,2.3,19.57,221.81,2023-09-04,8.1,1033.9,2171.7,102.7
94,Blue Java,Guatemala,2.79,Good,4.08,Ripe,18.66,4.28,28.58,100.06,2023-10-07,12.1,190.7,2952.2,143.4
95,Blue Java,Philippines,1.76,Processing,2.38,Turning,17.01,1.35,16.64,87.68,2023-09-24,5.7,535.1,2064.6,107.5
96,Blue Java,Philippines,2.41,Processing,2.06,Turning,20.55,3.53,19.31,154.44,2023-09-09,15.4,888.7,2810.6,175.7
97,Lady Finger,Philippines,1.71,Processing,2.32,Turning,19.04,4.9,10.27,223.48,2023-10-18,2.9,1253.4,1166.1,64.9
98,Plantain,Colombia,1.88,Processing,2.12,Turning,19.44,0.96,11.63,124.61,2023-09-03,17.3,65.5,1382.1,26.4
99,Blue Java,Colombia,2.88,Good,5.68,Ripe,20.59,0.54,15.17,151.69,2023-09-28,5.6,354.9,1881.5,187.9
100,Burro,India,1.9,Processing,3.1,Turning,17.77,2.45,10.56,86.79,2023-09-27,17.7,1334.6,2169.5,81.9
101,Manzano,India,2.42,Processing,1.35,Green,21.41,0.92,22.63,156.34,2023-10-19,8.3,13.7,2632.5,119.5
102,Lady Finger,Philippines,2.99,Good,6.81,Overripe,18.73,3.87,18.53,178.19,2023-10-15,15.0,302.1,2976.5,160.5
103,Lady Finger,Brazil,2.47,Processing,6.3,Overripe,16.11,4.62,20.96,177.05,2023-10-05,7.7,1438.5,1777.7,71.6
104,Plantain,Ecuador,3.06,Good,6.57,Overripe,19.87,2.45,13.49,136.51,2023-10-09,18.3,920.1,1094.8,146.1
105,Lady Finger,Colombia,3.27,Good,6.97,Overripe,20.55,1.66,15.92,133.64,2023-10-30,4.3,392.5,2602.3,35.7
106,Lady Finger,Brazil,2.1,Processing,2.04,Turning,17.22,2.45,23.28,98.13,2023-09-14,5.2,100.5,2208.8,65.3
107,Blue Java,Costa Rica,3.12,Good,3.38,Turning,21.0,3.76,29.31,142.36,2023-09-19,10.9,42.3,1397.1,37.5
108,Plantain,Colombia,2.75,Good,5.55,Ripe,21.34,0.54,11.01,96.91,2023-10-28,3.5,367.1,1989.7,164.1
109,Blue Java,Colombia,2.81,Good,5.18,Ripe,16.94,3.15,27.81,210.32,2023-09-25,5.5,1322.2,2484.6,52.3
110,Manzano,India,2.57,Good,1.92,Green,21.88,3.26,21.54,244.27,2023-10-16,19.0,623.9,2540.8,146.3
111,Fehi,Ecuador,2.51,Good,5.89,Ripe,15.98,3.37,21.28,244.91,2023-09-20,19.6,1080.5,1999.2,189.2
112,Manzano,Ecuador,1.81,Processing,2.35,Turning,16.41,1.59,20.01,227.06,2023-09-25,8.8,1377.4,1610.4,110.3
113,Fehi,Honduras,1.42,Unripe,2.34,Turning,16.29,3.71,11.39,182.13,2023-09-16,18.6,612.1,2947.5,112.6
114,Blue Java,Guatemala,2.56,Good,4.22,Ripe,21.26,0.91,11.8,199.15,2023-10-26,11.8,286.9,2326.7,97.6
115,Manzano,Guatemala,2.85,Good,4.56,Ripe,19.58,1.4,22.02,128.48,2023-09-23,6.9,775.7,1816.5,71.9
116,Plantain,Guatemala,1.95,Processing,4.48,Ripe,16.06,4.45,16.82,187.23,2023-09-25,14.6,1362.1,1560.9,100.4
117,Cavendish,Guatemala,2.23,Processing,1.55,Green,18.08,3.82,28.35,157.46,2023-10-27,13.9,1206.6,2462.2,124.5
118,Blue Java,Costa Rica,2.9,Good,6.26,Overripe,19.31,0.56,18.13,161.94,2023-10-30,19.8,98.7,1484.4,197.3
119,Fehi,Costa Rica,1.44,Unripe,2.59,Turning,15.58,1.62,12.87,208.82,2023-10-29,6.8,1038.9,1343.4,188.2
120,Burro,Colombia,2.62,Good,1.78,Green,21.18,1.46,24.29,127.93,2023-10-15,14.1,857.8,2059.7,173.8
121,Fehi,Philippines,3.16,Good,6.33,Overripe,20.63,1.72,15.87,134.07,2023-09-30,2.9,1361.2,1580.0,178.9
122,Burro,India,3.07,Good,6.73,Overripe,18.54,1.61,20.51,237.19,2023-09-14,4.0,183.7,2257.8,98.9
123,Lady Finger,India,3.42,Good,6.17,Overripe,21.77,0.78,23.96,89.56,2023-09-09,2.1,801.1,1235.9,134.9
124,Manzano,Guatemala,3.17,Good,5.86,Ripe,17.92,2.57,28.01,162.56,2023-10-17,20.0,1319.2,2309.9,180.1
125,Burro,Colombia,3.29,Good,4.93,Ripe,21.89,3.8,25.84,235.18,2023-09-29,16.4,615.0,1566.6,84.7
126,Fehi,Honduras,2.91,Good,4.31,Ripe,19.68,3.23,23.53,183.76,2023-10-31,16.2,723.0,1000.5,192.7
127,Lady Finger,Brazil,2.28,Processing,1.52,Green,19.44,3.53,23.59,172.89,2023-10-04,11.2,105.7,1253.9,89.0
128,Cavendish,Philippines,2.28,Processing,3.45,Turning,16.16,0.87,28.92,122.46,2023-09-28,7.4,417.2,2867.2,124.2
129,Plantain,Colombia,2.46,Processing,3.24,Turning,21.17,4.78,15.92,138.36,2023-10-26,4.7,486.8,2734.7,144.9
130,Plantain,Philippines,1.63,Processing,2.56,Turning,17.99,4.27,10.02,224.85,2023-10-05,7.1,1417.7,1467.2,190.6
131,Plantain,Philippines,2.11,Processing,5.34,Ripe,16.14,4.12,15.44,175.07,2023-09-05,8.8,424.0,2556.7,56.5
132,Burro,Philippines,1.62,Processing,3.98,Turning,15.09,4.2,14.36,167.51,2023-10-30,15.6,691.3,2217.1,151.8
133,Cavendish,Colombia,2.06,Processing,1.49,Green,18.92,4.7,23.24,96.93,2023-10-30,11.7,1007.0,2941.8,109.0
134,Burro,Guatemala,2.34,Processing,2.32,Turning,18.69,2.95,22.67,82.72,2023-10-17,3.4,243.3,1747.2,61.0
135,Manzano,India,3.02,Good,5.1,Ripe,20.04,1.4,21.87,243.83,2023-10-04,2.3,729.7,2362.9,157.6
136,Burro,India,2.03,Processing,1.46,Green,21.23,3.28,10.32,144.09,2023-10-21,3.8,1107.8,1127.1,114.9
137,Cavendish,Guatemala,2.56,Good,6.11,Overripe,15.56,3.84,24.58,182.55,2023-09-09,9.4,1300.3,1792.5,135.6
138,Cavendish,Philippines,2.57,Good,3.97,Turning,20.12,3.82,16.47,93.55,2023-09-29,18.8,939.4,2927.6,71.4
139,Manzano,Brazil,2.29,Processing,3.88,Turning,16.31,2.85,23.3,196.13,2023-09-26,13.5,1003.6,2078.0,101.4
140,Cavendish,Ecuador,2.99,Good,4.55,Ripe,21.01,0.81,21.13,238.54,2023-10-17,16.4,189.4,1575.8,127.3
141,Fehi,Colombia,3.19,Good,5.95,Ripe,20.73,2.17,16.85,177.86,2023-09-25,10.4,1418.7,1240.5,86.9
142,Cavendish,Ecuador,1.94,Processing,3.09,Turning,18.79,4.64,12.69,101.44,2023-09-14,8.5,198.9,2407.1,47.7
143,Plantain,Honduras,2.65,Good,5.07,Ripe,19.97,3.13,11.89,178.89,2023-10-03,4.0,1162.0,2289.7,192.7
144,Fehi,Guatemala,2.67,Good,4.39,Ripe,17.2,2.92,26.63,210.28,2023-09-03,17.8,397.2,1747.9,107.2
145,Fehi,Brazil,2.53,Good,2.6,Turning,18.3,1.71,28.37,149.09,2023-10-12,16.1,1400.4,2901.9,149.4
146,Manzano,Colombia,3.5,Good,6.27,Overripe,20.75,2.16,23.0,229.57,2023-10-03,5.0,1079.9,1044.4,88.1
147,Red Dacca,Guatemala,2.37,Processing,5.78,Ripe,18.21,4.53,12.07,190.28,2023-10-27,11.2,1130.7,1607.4,77.5
148,Red Dacca,Philippines,2.43,Processing,4.95,Ripe,17.5,3.5,18.04,232.87,2023-09-07,10.8,328.6,2842.1,87.4
149,Cavendish,India,3.03,Good,6.1,Overripe,18.46,4.04,24.58,186.0,2023-10-09,13.3,664.6,1641.9,87.7
150,Fehi,Ecuador,3.63,Premium,6.2,Overripe,20.8,2.54,25.6,102.32,2023-10-31,19.0,926.7,1504.5,113.4
151,Red Dacca,Costa Rica,2.25,Processing,5.25,Ripe,17.35,3.34,12.36,132.65,2023-10-21,12.4,1155.0,2068.4,113.3
152,Red Dacca,Costa Rica,2.12,Processing,6.02,Overripe,16.22,1.62,10.0,114.31,2023-10-24,11.7,155.9,2647.6,104.5
153,Cavendish,Brazil,3.12,Good,5.18,Ripe,19.98,3.67,24.24,234.5,2023-10-15,2.9,1443.5,1206.3,35.6
154,Red Dacca,Philippines,3.06,Good,5.08,Ripe,20.78,2.42,17.13,209.27,2023-09-25,3.1,1335.3,2886.0,104.3
155,Burro,Honduras,2.06,Processing,4.71,Ripe,15.7,2.49,15.09,194.99,2023-10-17,5.4,405.5,2590.1,42.1
156,Lady Finger,Ecuador,2.1,Processing,5.52,Ripe,16.68,3.42,10.26,131.16,2023-10-30,2.6,1234.1,1362.5,34.0
157,Manzano,Philippines,1.57,Processing,1.95,Green,15.99,4.71,20.81,111.29,2023-09-20,15.4,777.5,2424.0,187.2
158,Lady Finger,Ecuador,2.97,Good,6.29,Overripe,17.44,0.79,27.02,208.6,2023-10-30,15.0,692.7,1769.9,124.9
159,Cavendish,Brazil,3.17,Good,6.23,Overripe,18.15,4.21,29.15,160.61,2023-10-23,4.4,471.7,1804.6,135.3
160,Plantain,Brazil,2.29,Processing,1.18,Green,20.24,1.82,21.31,118.38,2023-09-22,17.0,871.5,2566.6,86.3
161,Manzano,Honduras,3.16,Good,5.95,Ripe,19.56,2.5,20.29,184.83,2023-09-03,4.8,1094.8,2925.6,182.7
162,Cavendish,Costa Rica,1.76,Processing,1.77,Green,19.35,0.6,11.7,86.86,2023-10-29,7.4,616.4,1253.3,131.2
163,Fehi,Philippines,2.19,Processing,3.01,Turning,17.47,1.85,20.98,135.45,2023-09-01,6.5,943.8,1841.3,156.1
164,Plantain,Colombia,3.15,Good,5.46,Ripe,20.89,2.76,17.6,159.65,2023-10-03,8.7,1049.0,1961.9,80.0
165,Lady Finger,Costa Rica,2.05,Processing,1.96,Green,18.3,0.75,22.14,105.15,2023-10-26,6.6,1066.7,1752.6,192.4
166,Cavendish,Philippines,3.27,Good,5.91,Ripe,21.85,2.71,17.77,247.39,2023-09-24,10.8,77.9,1726.4,165.9
167,Fehi,Costa Rica,2.71,Good,5.99,Ripe,19.44,4.67,14.81,115.55,2023-10-03,9.3,1289.6,1104.5,172.3
168,Manzano,Colombia,1.68,Processing,4.04,Ripe,15.88,0.97,11.9,102.16,2023-09-10,19.8,687.4,2371.1,42.7
169,Manzano,India,1.9,Processing,1.04,Green,19.73,3.94,16.3,114.6,2023-10-05,3.0,393.6,1872.4,61.5
170,Blue Java,India,1.79,Processing,2.72,Turning,17.28,2.34,11.93,210.74,2023-10-08,4.6,362.6,1389.6,64.3
171,Fehi,Honduras,2.59,Good,4.7,Ripe,19.8,3.45,13.54,152.34,2023-09-30,3.0,724.5,2632.1,61.5
172,Burro,India,2.97,Good,6.89,Overripe,15.49,1.67,29.75,176.12,2023-10-26,13.3,1330.2,2605.1,172.5
173,Red Dacca,India,2.19,Processing,4.79,Ripe,16.22,1.22,18.88,83.57,2023-09-05,3.0,567.5,1972.8,16.1
174,Plantain,Guatemala,2.61,Good,2.56,Turning,20.99,1.22,20.64,85.85,2023-10-01,17.1,1124.6,1596.9,24.5
175,Fehi,Ecuador,2.56,Good,4.8,Ripe,16.59,0.82,27.47,155.79,2023-10-25,11.2,145.2,2276.2,62.0
176,Blue Java,Guatemala,3.31,Good,4.24,Ripe,20.86,1.34,29.91,218.83,2023-09-02,11.5,714.1,1576.3,48.0
177,Red Dacca,Guatemala,2.63,Good,5.68,Ripe,16.95,3.49,21.65,230.49,2023-09-12,12.1,1487.5,1472.0,54.1
178,Red Dacca,Honduras,2.33,Processing,1.64,Green,19.5,4.47,26.25,94.74,2023-09-29,5.1,1155.7,2461.0,161.6
179,Cavendish,Guatemala,2.82,Good,5.57,Ripe,19.86,4.16,16.54,171.52,2023-09-30,5.6,315.8,1080.7,117.0
180,Red Dacca,India,2.38,Processing,4.25,Ripe,18.59,3.58,16.11,235.25,2023-10-29,7.7,752.2,1189.5,11.1
181,Burro,Colombia,2.68,Good,6.78,Overripe,17.14,1.0,18.05,145.96,2023-09-03,12.7,350.4,1013.6,91.6
182,Manzano,Honduras,2.13,Processing,3.05,Turning,16.49,1.8,23.45,221.03,2023-10-22,5.8,614.3,1305.9,87.5
183,Blue Java,Honduras,2.28,Processing,4.8,Ripe,15.23,1.89,23.64,102.73,2023-10-24,4.1,1170.1,1138.0,31.6
184,Red Dacca,Brazil,2.64,Good,6.59,Overripe,17.13,1.62,16.3,239.02,2023-09-08,19.5,1156.8,2991.6,138.5
185,Cavendish,Honduras,1.96,Processing,1.62,Green,19.57,2.82,12.66,207.74,2023-10-24,2.4,342.2,1577.6,143.4
186,Burro,Brazil,3.59,Premium,6.62,Overripe,21.57,2.91,22.65,240.03,2023-10-04,16.4,1383.3,1298.5,147.0
187,Lady Finger,Honduras,2.89,Good,5.13,Ripe,21.1,2.11,12.57,195.02,2023-09-03,16.2,888.9,1482.0,148.4
188,Manzano,Ecuador,2.4,Processing,1.41,Green,20.36,2.09,21.57,141.78,2023-09-20,7.3,569.9,2872.3,10.0
189,Manzano,India,2.66,Good,2.81,Turning,20.52,4.23,23.87,239.49,2023-09-03,4.4,752.9,2040.3,191.2
190,Blue Java,Honduras,3.03,Good,5.25,Ripe,19.65,4.05,24.01,126.85,2023-09-08,4.6,907.6,1729.6,164.7
191,Manzano,India,1.93,Processing,1.4,Green,16.82,1.89,25.07,136.47,2023-09-27,14.6,839.8,2746.8,181.8
192,Red Dacca,India,3.19,Good,4.49,Ripe,21.35,4.61,27.46,199.14,2023-10-03,13.6,729.6,1790.0,13.0
193,Cavendish,Costa Rica,2.37,Processing,3.08,Turning,19.7,4.79,20.0,210.1,2023-09-19,16.1,757.4,1670.0,187.4
194,Manzano,Honduras,2.93,Good,4.73,Ripe,18.92,1.97,24.6,238.0,2023-10-26,18.9,264.6,1414.6,163.9
195,Manzano,Philippines,1.64,Processing,1.27,Green,15.78,2.09,22.38,114.82,2023-10-25,14.5,1219.1,1755.6,169.1
196,Lady Finger,Costa Rica,2.69,Good,6.23,Overripe,18.13,2.78,13.73,215.66,2023-09-08,4.8,812.6,1633.4,27.7
197,Lady Finger,Philippines,2.5,Processing,6.84,Overripe,18.22,4.74,10.51,205.55,2023-10-14,6.4,196.6,2354.6,150.4
198,Plantain,India,3.2,Good,6.81,Overripe,21.05,4.44,15.69,90.85,2023-09-07,17.2,1149.2,1579.2,192.4
199,Burro,India,2.74,Good,5.5,Ripe,18.83,0.96,18.86,145.83,2023-09-04,5.8,1398.7,2154.4,138.9
